"ID_PARADA","NOMBRE_PARADA_GEOCERCA","Gabriel y Galán 1_bajada","Gabriel y Galán 2_bajada","Dolores Ibárruri_bajada","Cámara de Comercio_bajada","Edificio Múltiples_bajada","Policía Local_bajada","Pl. del Olivar-Multicines_bajada","Centro Cívico La Data_bajada","Guardería La Data_bajada","Colegio La Paz_bajada","Pablo Iglesias_bajada","Colegio Josefinas_bajada","IES Pérez Comendador_bajada","Los Alamitos _bajada","IES Gabriel y Galán_bajada","Parque Coronación_bajada","Universidad_bajada","Ambulatorio Luis de Toro_bajada","Cristo de las Batallas_bajada","Correos_bajada","Catedral_bajada","Puente Trujillo_bajada","C. salud San Miguel_bajada","Avda. de España_bajada","Av. España-Cementerio_bajada","Colonia Guadalupe_bajada","Glorieta Cigüeñas_bajada","Martín Palomino 1_bajada","Martín Palomino 2_bajada","Martín Palomino 3_bajada","ITV_bajada","Bomberos_bajada","Sociosanitario"
59,"Gabriel y Galán 1_bajada",0,1,2,4,5,7,8,9,9,10,11,12,14,15,16,17,18,19,20,22,22,24,25,25,26,27,28,29,29,30,32,32,33
60,"Gabriel y Galán 2_bajada",-1,0,2,4,5,7,8,8,9,10,11,12,14,14,15,16,18,19,20,21,22,23,24,25,25,26,27,28,29,30,31,32,32
51,"Dolores Ibárruri_bajada",-2,-2,0,2,3,5,6,6,7,8,9,10,12,12,13,15,16,17,18,19,20,21,22,23,24,25,25,26,27,28,29,30,30
20,"Cámara de Comercio_bajada",-4,-4,-2,0,1,3,4,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,21,21,22,23,24,24,25,26,28,28,28
52,"Edificio Múltiples_bajada",-5,-5,-3,-1,0,2,3,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,20,20,21,22,23,23,24,25,27,27,27
106,"Policía Local_bajada",-8,-7,-5,-4,-3,0,1,1,2,2,3,5,7,7,8,9,11,12,13,14,15,16,17,18,18,19,20,21,22,22,24,24,25
102,"Pl. del Olivar-Multicines_bajada",-8,-8,-6,-4,-3,-1,0,1,1,2,3,4,6,7,8,9,10,11,12,13,14,15,17,17,18,19,20,20,21,22,24,24,24
30,"Centro Cívico La Data_bajada",-9,-8,-6,-5,-4,-1,-1,0,1,1,2,4,6,6,7,8,10,10,12,13,14,15,16,17,17,18,19,20,20,21,23,23,24
63,"Guardería La Data_bajada",-10,-9,-7,-5,-4,-2,-1,-1,0,1,2,3,5,5,6,7,9,10,11,12,13,14,15,16,16,17,18,19,20,20,22,23,23
41,"Colegio La Paz_bajada",-10,-10,-8,-6,-5,-3,-2,-2,-1,0,1,2,4,5,6,7,8,9,10,11,12,13,15,15,16,17,18,18,19,20,22,22,22
