"ID_PARADA","NOMBRE_PARADA_GEOCERCA","Hospital","Félix R. de la Fuente_bajada","Palacio de Justicia_bajada","Factoría Joven_bajada","Cruz Roja Salamanca_bajada","Avda. Salamanca_bajada","Avda. Extremadura_bajada","IES Parque Monfragüe_bajada","Los Pinos_bajada","Los Alamitos _bajada","IES Gabriel y Galán_bajada","Centro salud La Data_bajada","Céntrica_bajada","Los Pitufos_bajada","Estación autobuses_bajada","Avda. del Valle_bajada","Puerta Talavera_bajada","Catedral_bajada","Puente Trujillo_bajada","C. salud San Miguel_bajada","Avda. de España_bajada","Av. España-Cementerio_bajada","Colonia Guadalupe_bajada","Carretera Trujillo_bajada","PIR Los Monjes 1_bajada","PIR Los Monjes 2"
66,"Hospital",0,2,3,4,4,5,7,8,10,11,12,13,15,15,16,18,21,21,22,23,23,24,25,26,28,30
58,"Félix R. de la Fuente_bajada",-2,0,1,2,3,3,6,7,9,9,11,12,13,13,15,17,19,20,20,21,22,22,23,25,26,28
93,"Palacio de Justicia_bajada",-3,-1,0,1,2,2,5,6,7,8,9,11,12,12,14,16,18,18,19,20,20,21,22,23,25,27
56,"Factoría Joven_bajada",-4,-2,-1,0,1,1,4,5,6,7,8,10,11,11,13,15,17,18,18,19,20,20,21,23,24,26
118,"Cruz Roja Salamanca_bajada",-5,-3,-2,-1,0,1,3,4,6,6,8,9,10,11,12,14,16,17,17,18,19,20,20,22,23,25
12,"Avda. Salamanca_bajada",-5,-3,-2,-1,-1,0,2,3,5,6,7,8,10,10,11,13,16,16,17,18,18,19,20,21,23,25
9,"Avda. Extremadura_bajada",-8,-6,-5,-4,-3,-3,0,1,3,3,5,6,7,8,9,11,13,14,14,15,16,17,17,19,20,22
69,"IES Parque Monfragüe_bajada",-9,-7,-6,-5,-4,-4,-1,0,2,2,4,5,6,7,8,10,12,13,13,14,15,16,16,18,19,21
81,"Los Pinos_bajada",-11,-9,-8,-7,-6,-6,-3,-2,0,1,2,3,4,5,6,8,11,11,12,13,13,14,14,16,17,19
78,"Los Alamitos _bajada",-11,-10,-8,-7,-7,-6,-4,-3,-1,0,1,2,4,4,5,7,10,10,11,12,12,13,14,15,17,19
67,"IES Gabriel y Galán_bajada",-13,-11,-10,-9,-8,-8,-5,-4,-2,-2,0,1,2,3,4,6,9,9,10,11,11,12,12,14,15,17
33,"Centro salud La Data_bajada",-14,-12,-11,-10,-9,-9,-6,-5,-3,-3,-1,0,1,2,3,5,7,8,8,9,10,11,11,13,14,16
26,"Céntrica_bajada",-15,-13,-12,-11,-10,-10,-8,-7,-5,-4,-3,-2,0,1,2,4,6,6,7,8,8,9,10,11,13,15
83,"Los Pitufos_bajada",-15,-14,-13,-12,-11,-10,-8,-7,-5,-4,-3,-2,-1,0,1,3,6,6,7,8,8,9,9,11,12,14
53,"Estación autobuses_bajada",-17,-15,-14,-13,-12,-12,-9,-8,-6,-6,-4,-3,-2,-2,0,2,4,5,5,6,7,7,8,10,11,13
8,"Avda. del Valle_bajada",-19,-17,-16,-15,-14,-14,-11,-10,-8,-8,-6,-5,-4,-3,-2,0,2,3,3,4,5,5,6,8,9,11
114,"Puerta Talavera_bajada",-21,-20,-18,-18,-17,-16,-14,-13,-11,-10,-9,-8,-6,-6,-5,-3,0,1,1,2,2,3,4,5,7,8
24,"Catedral_bajada",-22,-20,-19,-18,-17,-17,-14,-13,-11,-11,-9,-8,-7,-6,-5,-3,-1,0,1,2,2,3,3,5,6,8
108,"Puente Trujillo_bajada",-22,-21,-19,-19,-18,-17,-15,-14,-12,-11,-10,-9,-7,-7,-6,-4,-1,-1,0,1,1,2,3,4,6,7
16,"C. salud San Miguel_bajada",-23,-22,-20,-20,-19,-18,-16,-15,-13,-12,-11,-10,-8,-8,-7,-5,-2,-2,-1,0,1,1,2,3,5,6
5,"Avda. de España_bajada",-24,-22,-21,-20,-19,-19,-16,-15,-13,-13,-11,-10,-9,-8,-7,-5,-3,-2,-2,0,0,1,1,3,4,6
3,"Av. España-Cementerio_bajada",-24,-23,-22,-21,-20,-19,-17,-16,-14,-13,-12,-11,-10,-9,-8,-6,-3,-3,-2,-1,-1,0,1,2,3,5
44,"Colonia Guadalupe_bajada",-25,-23,-22,-21,-21,-20,-18,-17,-15,-14,-13,-12,-10,-10,-8,-6,-4,-4,-3,-2,-2,-1,0,1,3,5
22,"Carretera Trujillo_bajada",-27,-25,-24,-23,-22,-22,-19,-18,-16,-16,-14,-13,-12,-11,-10,-8,-6,-5,-5,-3,-3,-2,-2,0,1,3
98,"PIR Los Monjes 1_bajada",-28,-26,-25,-24,-23,-23,-20,-19,-18,-17,-16,-14,-13,-13,-11,-9,-7,-7,-6,-5,-5,-4,-3,-2,0,2
100,"PIR Los Monjes 2",-30,-28,-27,-26,-25,-25,-22,-21,-20,-19,-18,-16,-15,-15,-13,-11,-9,-8,-8,-7,-6,-6,-5,-3,-2,0
