"ID_PARADA","NOMBRE_PARADA_GEOCERCA","Estación de tren","C. salud San Miguel_subida","Puente Trujillo_subida","Catedral_subida","Correos_subida","Cristo de las Batallas_subida","Ambulatorio Luis de Toro_subida","Calle Cabezabellosa_subida","Avda. Juan Carlos I_subida","Parque infantil de tráfico_subida","Plaza de toros_subida","Barrio El Pilar_subida","Centro Cívico El Pilar_subida","Avda. Extremadura_subida","Cruz Roja_subida","Ciudad Deportiva_subida","IES Virgen del Puerto_subida","Ciudad Jardín_subida","Centro de menores_subida","Hospital"
55,"Estación de tren",0,3,4,5,7,11,13,16,18,19,20,21,22,23,24,25,26,28,28,29
17,"C. salud San Miguel_subida",-3,0,1,2,5,8,10,13,15,16,17,18,19,20,22,22,23,25,25,26
109,"Puente Trujillo_subida",-4,-2,0,1,3,7,9,12,14,14,16,17,18,19,20,21,22,23,24,24
25,"Catedral_subida",-5,-2,-1,0,3,7,9,11,13,14,16,16,17,19,20,20,21,23,23,24
46,"Correos_subida",-8,-5,-3,-3,0,4,6,8,11,11,13,13,14,16,17,17,19,20,21,21
48,"Cristo de las Batallas_subida",-12,-9,-7,-7,-4,0,2,4,7,7,9,9,10,12,13,14,15,16,17,17
2,"Ambulatorio Luis de Toro_subida",-14,-11,-9,-9,-6,-2,0,2,5,5,7,7,8,10,11,12,13,14,15,15
18,"Calle Cabezabellosa_subida",-16,-13,-12,-11,-9,-5,-3,0,2,3,4,5,6,7,9,9,10,12,12,13
11,"Avda. Juan Carlos I_subida",-18,-16,-14,-14,-11,-7,-5,-2,0,1,2,3,4,5,6,7,8,9,10,10
97,"Parque infantil de tráfico_subida",-19,-16,-15,-14,-11,-8,-6,-3,-1,0,1,2,3,5,6,6,7,9,9,10
105,"Plaza de toros_subida",-21,-18,-16,-16,-13,-9,-7,-5,-2,-2,0,1,1,3,4,5,6,7,8,8
14,"Barrio El Pilar_subida",-21,-18,-17,-16,-14,-10,-8,-5,-3,-2,-1,0,1,2,4,4,5,7,7,8
29,"Centro Cívico El Pilar_subida",-22,-19,-18,-17,-15,-11,-9,-6,-4,-3,-2,-1,0,1,3,3,4,6,6,7
10,"Avda. Extremadura_subida",-24,-21,-19,-19,-16,-12,-10,-8,-5,-5,-3,-3,-2,0,1,2,3,4,5,5
50,"Cruz Roja_subida",-25,-22,-21,-20,-17,-13,-11,-9,-7,-6,-4,-4,-3,-1,0,1,2,3,4,4
36,"Ciudad Deportiva_subida",-25,-22,-21,-21,-18,-14,-12,-9,-7,-7,-5,-4,-3,-2,-1,0,1,2,3,4
74,"IES Virgen del Puerto_subida",-27,-24,-22,-22,-19,-15,-13,-11,-8,-8,-6,-6,-5,-3,-2,-1,0,1,2,2
38,"Ciudad Jardín_subida",-28,-25,-24,-23,-20,-16,-14,-12,-10,-9,-7,-7,-6,-4,-3,-3,-2,0,1,1
32,"Centro de menores_subida",-29,-26,-24,-24,-21,-17,-15,-13,-10,-10,-8,-8,-7,-5,-4,-3,-2,-1,0,1
66,"Hospital",-29,-26,-25,-24,-21,-18,-16,-13,-11,-10,-9,-8,-7,-6,-4,-4,-3,-1,-1,0
