"ID_PARADA","NOMBRE_PARADA_GEOCERCA","PIR Los Monjes 2","PIR Los Monjes 1_subida","Carretera Trujillo_subida","Colonia Guadalupe_subida","Av. España-Cementerio_subida","Avda. de España_subida","C. salud San Miguel_subida","Puente Trujillo_subida","Catedral_subida","Correos_subida","Puerta del Sol_subida","Avda. de la Vera_subida","Estación de autobuses_subida","Los Pitufos_subida","Céntrica_subida","Centro salud La Data_subida","Los Pinos_subida","IES Parque Monfragüe_subida","Avda. Extremadura_subida","Factoría Joven_subida","Palacio de Justicia_subida","Piscina Bioclimática_subida","Ciudad Jardín_subida","Centro de menores_subida","Hospital"
100,"PIR Los Monjes 2",0,1,2,3,3,4,5,6,7,8,10,11,12,14,15,16,18,19,19,21,23,23,24,24,25
99,"PIR Los Monjes 1_subida",0,0,1,3,3,4,5,6,7,8,10,11,12,14,14,15,17,18,19,21,22,23,24,24,25
23,"Carretera Trujillo_subida",-2,-2,0,1,1,2,3,4,5,7,8,9,10,12,13,14,16,17,17,19,21,21,22,22,23
43,"Colonia Guadalupe_subida",-3,-3,-1,0,1,1,2,3,4,5,7,8,9,11,11,12,15,16,16,18,19,20,21,21,22
4,"Av. España-Cementerio_subida",-4,-3,-2,-1,0,1,2,3,3,5,7,7,9,10,11,12,14,15,16,18,19,20,20,21,21
6,"Avda. de España_subida",-4,-4,-2,-1,-1,0,1,2,3,4,6,7,8,10,11,12,14,15,15,17,18,19,20,20,21
17,"C. salud San Miguel_subida",-6,-5,-4,-2,-2,-2,0,1,1,3,5,6,7,9,9,10,12,13,14,16,17,18,18,19,19
109,"Puente Trujillo_subida",-7,-6,-5,-3,-3,-3,-1,0,1,2,4,5,6,8,8,9,11,12,13,15,16,17,17,18,18
25,"Catedral_subida",-7,-7,-5,-4,-4,-3,-2,-1,0,1,3,4,5,7,8,9,11,12,12,14,16,16,17,17,18
46,"Correos_subida",-9,-9,-7,-6,-5,-5,-3,-2,-2,0,1,2,4,5,6,7,9,10,11,13,14,15,15,16,16
113,"Puerta del Sol_subida",-10,-10,-8,-7,-7,-6,-5,-4,-3,-2,0,1,2,4,4,5,7,8,9,11,12,13,14,14,15
7,"Avda. de la Vera_subida",-11,-11,-9,-8,-8,-7,-6,-5,-4,-3,-1,0,1,3,3,4,6,7,8,10,11,12,13,13,14
54,"Estación de autobuses_subida",-13,-12,-11,-10,-9,-9,-7,-6,-6,-4,-2,-2,0,1,2,3,5,6,7,9,10,11,11,12,12
84,"Los Pitufos_subida",-14,-14,-12,-11,-11,-10,-9,-8,-7,-6,-4,-3,-2,0,1,1,4,5,5,7,8,9,10,10,11
27,"Céntrica_subida",-15,-15,-13,-12,-11,-11,-10,-8,-8,-6,-5,-4,-2,-1,0,1,3,4,5,7,8,8,9,10,10
34,"Centro salud La Data_subida",-16,-16,-14,-13,-12,-12,-10,-9,-9,-7,-6,-5,-3,-2,-1,0,2,3,4,6,7,8,8,9,9
82,"Los Pinos_subida",-18,-18,-16,-15,-14,-14,-13,-12,-11,-9,-8,-7,-5,-4,-3,-2,0,1,2,4,5,5,6,6,7
70,"IES Parque Monfragüe_subida",-19,-19,-17,-16,-15,-15,-14,-13,-12,-10,-9,-8,-6,-5,-4,-3,-1,0,1,3,4,4,5,5,6
10,"Avda. Extremadura_subida",-20,-19,-18,-17,-16,-16,-14,-13,-13,-11,-10,-9,-7,-6,-5,-4,-2,-1,0,2,3,4,4,5,5
57,"Factoría Joven_subida",-22,-21,-20,-19,-18,-18,-16,-15,-15,-13,-11,-11,-9,-8,-7,-6,-4,-3,-2,0,1,2,2,3,3
94,"Palacio de Justicia_subida",-23,-23,-21,-20,-19,-19,-17,-16,-16,-14,-13,-12,-10,-9,-8,-7,-5,-4,-3,-1,0,1,1,2,2
101,"Piscina Bioclimática_subida",-24,-23,-22,-20,-20,-20,-18,-17,-17,-15,-13,-12,-11,-9,-9,-8,-6,-5,-4,-2,-1,0,1,1,1
38,"Ciudad Jardín_subida",-24,-24,-22,-21,-21,-20,-19,-18,-17,-15,-14,-13,-12,-10,-9,-8,-6,-5,-5,-3,-1,-1,0,1,1
32,"Centro de menores_subida",-25,-24,-23,-21,-21,-21,-19,-18,-18,-16,-14,-13,-12,-11,-10,-9,-7,-6,-5,-3,-2,-1,-1,0,1
66,"Hospital",-25,-25,-23,-22,-22,-21,-20,-19,-18,-17,-15,-14,-13,-11,-10,-9,-7,-6,-6,-4,-2,-2,-1,-1,0
